"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"314","rdfcompare","src/rdfcompare/PatternExplorer.java","3","173","Avoid excessively long variable names like avg_intersect_size","Naming Rules","LongVariable"
"315","rdfcompare","src/rdfcompare/PatternExplorer.java","3","173","Avoid unused local variables such as 'avg_intersect_size'.","Unused Code Rules","UnusedLocalVariable"
"316","rdfcompare","src/rdfcompare/PatternExplorer.java","5","173","Found 'DU'-anomaly for variable 'avg_intersect_size' (lines '173'-'207').","Controversial Rules","DataflowAnomalyAnalysis"
"317","rdfcompare","src/rdfcompare/PatternExplorer.java","5","174","Found 'DU'-anomaly for variable 'total_intersect_size' (lines '174'-'207').","Controversial Rules","DataflowAnomalyAnalysis"
"318","rdfcompare","src/rdfcompare/PatternExplorer.java","5","189","Found 'DD'-anomaly for variable 'total_model_count' (lines '189'-'189').","Controversial Rules","DataflowAnomalyAnalysis"
"319","rdfcompare","src/rdfcompare/PatternExplorer.java","5","189","Found 'DU'-anomaly for variable 'total_model_count' (lines '189'-'207').","Controversial Rules","DataflowAnomalyAnalysis"
"320","rdfcompare","src/rdfcompare/PatternExplorer.java","2","193","System.out.print is used","Java Logging Rules","SystemPrintln"
"321","rdfcompare","src/rdfcompare/PatternExplorer.java","1","209","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"322","rdfcompare","src/rdfcompare/PatternExplorer.java","5","214","Found 'DU'-anomaly for variable 'temp' (lines '214'-'260').","Controversial Rules","DataflowAnomalyAnalysis"
"323","rdfcompare","src/rdfcompare/PatternExplorer.java","3","227","Ensure that resources like this Statement object are closed after use","Design Rules","CloseResource"
"324","rdfcompare","src/rdfcompare/PatternExplorer.java","5","231","Found 'DD'-anomaly for variable 'intVal' (lines '231'-'232').","Controversial Rules","DataflowAnomalyAnalysis"
"325","rdfcompare","src/rdfcompare/PatternExplorer.java","2","233","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"326","rdfcompare","src/rdfcompare/PatternExplorer.java","3","233","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"327","rdfcompare","src/rdfcompare/PatternExplorer.java","2","258","System.out.print is used","Java Logging Rules","SystemPrintln"
"328","rdfcompare","src/rdfcompare/PatternExplorer.java","3","262","Avoid variables with short names like t","Naming Rules","ShortVariable"
"329","rdfcompare","src/rdfcompare/PatternExplorer.java","3","262","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"330","rdfcompare","src/rdfcompare/PatternExplorer.java","3","264","Avoid variables with short names like l","Naming Rules","ShortVariable"
"331","rdfcompare","src/rdfcompare/PatternExplorer.java","3","271","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"332","rdfcompare","src/rdfcompare/PatternExplorer.java","1","284","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"333","rdfcompare","src/rdfcompare/PatternExplorer.java","5","290","Found 'DD'-anomaly for variable 'model_counter' (lines '290'-'294').","Controversial Rules","DataflowAnomalyAnalysis"
"334","rdfcompare","src/rdfcompare/PatternExplorer.java","5","290","Found 'DU'-anomaly for variable 'model_counter' (lines '290'-'319').","Controversial Rules","DataflowAnomalyAnalysis"
"335","rdfcompare","src/rdfcompare/PatternExplorer.java","5","298","Found 'DD'-anomaly for variable 'stmt_occurred' (lines '298'-'308').","Controversial Rules","DataflowAnomalyAnalysis"
"336","rdfcompare","src/rdfcompare/PatternExplorer.java","3","301","Ensure that resources like this Statement object are closed after use","Design Rules","CloseResource"
"337","rdfcompare","src/rdfcompare/PatternExplorer.java","5","308","Found 'DD'-anomaly for variable 'stmt_occurred' (lines '308'-'308').","Controversial Rules","DataflowAnomalyAnalysis"
"338","rdfcompare","src/rdfcompare/PatternExplorer.java","3","309","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"339","rdfcompare","src/rdfcompare/PatternExplorer.java","5","333","Found 'DD'-anomaly for variable 'master' (lines '333'-'341').","Controversial Rules","DataflowAnomalyAnalysis"
"340","rdfcompare","src/rdfcompare/PatternExplorer.java","5","336","Found 'DD'-anomaly for variable 'temp1' (lines '336'-'336').","Controversial Rules","DataflowAnomalyAnalysis"
"341","rdfcompare","src/rdfcompare/PatternExplorer.java","5","336","Found 'DU'-anomaly for variable 'temp1' (lines '336'-'352').","Controversial Rules","DataflowAnomalyAnalysis"
"342","rdfcompare","src/rdfcompare/PatternExplorer.java","3","353","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"343","rdfcompare","src/rdfcompare/PatternExplorer.java","3","353","The method 'clusterize_the_model' has a Cyclomatic Complexity of 14.","Code Size Rules","CyclomaticComplexity"
"344","rdfcompare","src/rdfcompare/PatternExplorer.java","5","363","Found 'DD'-anomaly for variable 'iso_morph_count' (lines '363'-'379').","Controversial Rules","DataflowAnomalyAnalysis"
"345","rdfcompare","src/rdfcompare/PatternExplorer.java","5","364","Found 'DD'-anomaly for variable 'model_size' (lines '364'-'374').","Controversial Rules","DataflowAnomalyAnalysis"
"346","rdfcompare","src/rdfcompare/PatternExplorer.java","5","366","Found 'DD'-anomaly for variable 'score1' (lines '366'-'383').","Controversial Rules","DataflowAnomalyAnalysis"
"347","rdfcompare","src/rdfcompare/PatternExplorer.java","5","367","Found 'DD'-anomaly for variable 'score2' (lines '367'-'389').","Controversial Rules","DataflowAnomalyAnalysis"
"348","rdfcompare","src/rdfcompare/PatternExplorer.java","5","369","Found 'DU'-anomaly for variable 'model1' (lines '369'-'453').","Controversial Rules","DataflowAnomalyAnalysis"
"349","rdfcompare","src/rdfcompare/PatternExplorer.java","5","374","Found 'DD'-anomaly for variable 'model_size' (lines '374'-'374').","Controversial Rules","DataflowAnomalyAnalysis"
"350","rdfcompare","src/rdfcompare/PatternExplorer.java","5","379","Found 'DD'-anomaly for variable 'iso_morph_count' (lines '379'-'379').","Controversial Rules","DataflowAnomalyAnalysis"
"351","rdfcompare","src/rdfcompare/PatternExplorer.java","5","389","Found 'DD'-anomaly for variable 'score2' (lines '389'-'389').","Controversial Rules","DataflowAnomalyAnalysis"
"352","rdfcompare","src/rdfcompare/PatternExplorer.java","2","400","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"353","rdfcompare","src/rdfcompare/PatternExplorer.java","3","400","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"354","rdfcompare","src/rdfcompare/PatternExplorer.java","5","402","Found 'DU'-anomaly for variable 'existing' (lines '402'-'453').","Controversial Rules","DataflowAnomalyAnalysis"
"355","rdfcompare","src/rdfcompare/PatternExplorer.java","2","406","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"356","rdfcompare","src/rdfcompare/PatternExplorer.java","3","406","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"357","rdfcompare","src/rdfcompare/PatternExplorer.java","2","407","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"358","rdfcompare","src/rdfcompare/PatternExplorer.java","3","407","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"359","rdfcompare","src/rdfcompare/PatternExplorer.java","2","415","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"360","rdfcompare","src/rdfcompare/PatternExplorer.java","3","421","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"361","rdfcompare","src/rdfcompare/PatternExplorer.java","5","433","Found 'DD'-anomaly for variable 'pattern_size_count' (lines '433'-'441').","Controversial Rules","DataflowAnomalyAnalysis"
"362","rdfcompare","src/rdfcompare/PatternExplorer.java","5","434","Found 'DD'-anomaly for variable 'pattMap' (lines '434'-'435').","Controversial Rules","DataflowAnomalyAnalysis"
"363","rdfcompare","src/rdfcompare/PatternExplorer.java","5","441","Found 'DD'-anomaly for variable 'pattern_size_count' (lines '441'-'441').","Controversial Rules","DataflowAnomalyAnalysis"
"364","rdfcompare","src/rdfcompare/PatternExplorer.java","3","457","Document empty method","Design Rules","UncommentedEmptyMethod"
"365","rdfcompare","src/rdfcompare/PatternExplorer.java","5","473","Found 'DD'-anomaly for variable 'completed' (lines '473'-'497').","Controversial Rules","DataflowAnomalyAnalysis"
"366","rdfcompare","src/rdfcompare/PatternExplorer.java","3","486","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"367","rdfcompare","src/rdfcompare/PatternExplorer.java","3","487","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"368","rdfcompare","src/rdfcompare/PatternExplorer.java","5","497","Found 'DD'-anomaly for variable 'completed' (lines '497'-'497').","Controversial Rules","DataflowAnomalyAnalysis"
"369","rdfcompare","src/rdfcompare/PatternExplorer.java","2","498","Do not explicitly trigger a garbage collection.","Controversial Rules","DoNotCallGarbageCollectionExplicitly"
"370","rdfcompare","src/rdfcompare/PatternExplorer.java","3","499","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"371","rdfcompare","src/rdfcompare/PatternExplorer.java","3","506","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"372","rdfcompare","src/rdfcompare/RDFComparer.java","4","5","Avoid unused imports such as 'com.hp.hpl.jena.graph.Graph'","Type Resolution Rules","UnusedImports"
"373","rdfcompare","src/rdfcompare/RDFComparer.java","4","5","Avoid unused imports such as 'com.hp.hpl.jena.graph.Graph'","Type Resolution Rules","UnusedImports"
"374","rdfcompare","src/rdfcompare/RDFComparer.java","1","13","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"375","rdfcompare","src/rdfcompare/RDFComparer.java","3","13","Parameter 'file1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"376","rdfcompare","src/rdfcompare/RDFComparer.java","3","13","Parameter 'file2' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"377","rdfcompare","src/rdfcompare/RDFComparer.java","3","19","Local variable 'model1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"378","rdfcompare","src/rdfcompare/RDFComparer.java","3","20","Local variable 'model2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"379","rdfcompare","src/rdfcompare/RDFComparer.java","3","25","Local variable 'subjects1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"380","rdfcompare","src/rdfcompare/RDFComparer.java","3","26","Local variable 'subjects2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"381","rdfcompare","src/rdfcompare/RDFComparer.java","5","28","Found 'DD'-anomaly for variable 'matched' (lines '28'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"382","rdfcompare","src/rdfcompare/RDFComparer.java","5","28","Found 'DD'-anomaly for variable 'matched' (lines '28'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"383","rdfcompare","src/rdfcompare/RDFComparer.java","3","29","Avoid unused local variables such as 'total'.","Unused Code Rules","UnusedLocalVariable"
"384","rdfcompare","src/rdfcompare/RDFComparer.java","5","29","Found 'DD'-anomaly for variable 'total' (lines '29'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"385","rdfcompare","src/rdfcompare/RDFComparer.java","5","29","Found 'DD'-anomaly for variable 'total' (lines '29'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"386","rdfcompare","src/rdfcompare/RDFComparer.java","5","29","Found 'DU'-anomaly for variable 'total' (lines '29'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"387","rdfcompare","src/rdfcompare/RDFComparer.java","5","30","Found 'DD'-anomaly for variable 'explored' (lines '30'-'34').","Controversial Rules","DataflowAnomalyAnalysis"
"388","rdfcompare","src/rdfcompare/RDFComparer.java","5","34","Found 'DD'-anomaly for variable 'explored' (lines '34'-'34').","Controversial Rules","DataflowAnomalyAnalysis"
"389","rdfcompare","src/rdfcompare/RDFComparer.java","5","35","Found 'DD'-anomaly for variable 'myURI' (lines '35'-'35').","Controversial Rules","DataflowAnomalyAnalysis"
"390","rdfcompare","src/rdfcompare/RDFComparer.java","5","35","Found 'DD'-anomaly for variable 'myURI' (lines '35'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"391","rdfcompare","src/rdfcompare/RDFComparer.java","5","35","Found 'DU'-anomaly for variable 'myURI' (lines '35'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"392","rdfcompare","src/rdfcompare/RDFComparer.java","3","35","Local variable 'myURI' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"393","rdfcompare","src/rdfcompare/RDFComparer.java","5","42","Found 'DD'-anomaly for variable 'matched' (lines '42'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"394","rdfcompare","src/rdfcompare/RDFComparer.java","5","42","Found 'DD'-anomaly for variable 'matched' (lines '42'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"395","rdfcompare","src/rdfcompare/RDFComparer.java","5","46","Found 'DD'-anomaly for variable 'total' (lines '46'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"396","rdfcompare","src/rdfcompare/RDFComparer.java","5","46","Found 'DD'-anomaly for variable 'total' (lines '46'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"397","rdfcompare","src/rdfcompare/RDFComparer.java","5","46","Found 'DU'-anomaly for variable 'total' (lines '46'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"398","rdfcompare","src/rdfcompare/RDFComparer.java","3","49","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"399","rdfcompare","src/rdfcompare/RDFComparer.java","5","52","Found 'DD'-anomaly for variable 'myURI' (lines '52'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"400","rdfcompare","src/rdfcompare/RDFComparer.java","5","52","Found 'DU'-anomaly for variable 'myURI' (lines '52'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"401","rdfcompare","src/rdfcompare/RDFComparer.java","5","59","Found 'DD'-anomaly for variable 'matched' (lines '59'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"402","rdfcompare","src/rdfcompare/RDFComparer.java","5","63","Found 'DD'-anomaly for variable 'total' (lines '63'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"403","rdfcompare","src/rdfcompare/RDFComparer.java","5","63","Found 'DU'-anomaly for variable 'total' (lines '63'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"404","rdfcompare","src/rdfcompare/RDFComparer.java","2","65","System.out.print is used","Java Logging Rules","SystemPrintln"
"405","rdfcompare","src/rdfcompare/RDFComparer.java","2","66","System.out.print is used","Java Logging Rules","SystemPrintln"
"406","rdfcompare","src/rdfcompare/RDFComparer.java","2","67","System.out.print is used","Java Logging Rules","SystemPrintln"
"407","rdfcompare","src/rdfcompare/RDFComparer.java","2","69","System.out.print is used","Java Logging Rules","SystemPrintln"
"408","rdfcompare","src/rdfcompare/RDFComparer.java","1","73","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"409","rdfcompare","src/rdfcompare/RDFComparer.java","3","73","Parameter 'projDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"410","rdfcompare","src/rdfcompare/RDFComparer.java","3","94","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"411","rdfcompare","src/rdfcompare/RDFComparer.java","2","101","System.out.print is used","Java Logging Rules","SystemPrintln"
"412","rdfcompare","src/rdfcompare/RDFIntersectTest.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"413","rdfcompare","src/rdfcompare/RDFIntersectTest.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"414","rdfcompare","src/rdfcompare/RDFIntersectTest.java","1","17","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"415","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","17","Parameter 'mymodel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"416","rdfcompare","src/rdfcompare/RDFIntersectTest.java","1","22","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"417","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","27","Local variable 'rdf1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"418","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","28","Local variable 'rdf2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"419","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","29","Local variable 'model1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"420","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","30","Local variable 'model2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"421","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","36","Local variable 'intersectModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"422","rdfcompare","src/rdfcompare/RDFIntersectTest.java","2","40","System.out.print is used","Java Logging Rules","SystemPrintln"
"423","rdfcompare","src/rdfcompare/RDFIntersectTest.java","2","43","System.out.print is used","Java Logging Rules","SystemPrintln"
"424","rdfcompare","src/rdfcompare/RDFIntersectTest.java","2","47","System.out.print is used","Java Logging Rules","SystemPrintln"
"425","rdfcompare","src/rdfcompare/RDFIntersectTest.java","2","56","System.out.print is used","Java Logging Rules","SystemPrintln"
"426","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","57","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"427","rdfcompare","src/rdfcompare/RDFIntersectTest.java","3","63","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"428","rdfcompare","src/rdfcompare/ThresholdManager.java","1","12","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"429","rdfcompare","src/rdfcompare/ThresholdManager.java","3","12","Parameter 'classFolder' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"430","rdfcompare","src/rdfcompare/ThresholdManager.java","3","14","Avoid excessively long variable names like rdf_node_threshold","Naming Rules","LongVariable"
"431","rdfcompare","src/rdfcompare/ThresholdManager.java","3","14","Local variable 'rdf_node_threshold' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"432","rdfcompare","src/rdfcompare/ThresholdManager.java","3","17","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"433","rdfcompare","src/rdfcompare/ThresholdManager.java","3","20","Local variable 'files' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"434","rdfcompare","src/rdfcompare/ThresholdManager.java","2","26","System.out.print is used","Java Logging Rules","SystemPrintln"
"435","rdfcompare","src/rdfcompare/ThresholdManager.java","3","33","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"436","rdfmaker","src/rdfmaker/APIFiltration.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"437","rdfmaker","src/rdfmaker/APIFiltration.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"438","rdfmaker","src/rdfmaker/APIFiltration.java","3","20","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"439","rdfmaker","src/rdfmaker/APIFiltration.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"440","rdfmaker","src/rdfmaker/APIFiltration.java","3","20","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"441","rdfmaker","src/rdfmaker/APIFiltration.java","3","21","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"442","rdfmaker","src/rdfmaker/APIFiltration.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"443","rdfmaker","src/rdfmaker/APIFiltration.java","3","21","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"444","rdfmaker","src/rdfmaker/APIFiltration.java","3","22","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"445","rdfmaker","src/rdfmaker/APIFiltration.java","3","22","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"446","rdfmaker","src/rdfmaker/APIFiltration.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"447","rdfmaker","src/rdfmaker/APIFiltration.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"448","rdfmaker","src/rdfmaker/APIFiltration.java","3","23","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"449","rdfmaker","src/rdfmaker/APIFiltration.java","3","23","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"450","rdfmaker","src/rdfmaker/APIFiltration.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"451","rdfmaker","src/rdfmaker/APIFiltration.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"452","rdfmaker","src/rdfmaker/APIFiltration.java","1","32","Overridable method 'load_the_classes' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"453","rdfmaker","src/rdfmaker/APIFiltration.java","1","37","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"454","rdfmaker","src/rdfmaker/APIFiltration.java","3","39","Local variable 'util_class_path' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"455","rdfmaker","src/rdfmaker/APIFiltration.java","3","42","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"456","rdfmaker","src/rdfmaker/APIFiltration.java","3","43","Local variable 'scanner' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"457","rdfmaker","src/rdfmaker/APIFiltration.java","3","44","Avoid unused local variables such as 'count'.","Unused Code Rules","UnusedLocalVariable"
"458","rdfmaker","src/rdfmaker/APIFiltration.java","5","44","Found 'DD'-anomaly for variable 'count' (lines '44'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"459","rdfmaker","src/rdfmaker/APIFiltration.java","5","44","Found 'DU'-anomaly for variable 'count' (lines '44'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"460","rdfmaker","src/rdfmaker/APIFiltration.java","5","49","Found 'DD'-anomaly for variable 'count' (lines '49'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"461","rdfmaker","src/rdfmaker/APIFiltration.java","5","49","Found 'DU'-anomaly for variable 'count' (lines '49'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"462","rdfmaker","src/rdfmaker/APIFiltration.java","2","60","System.out.print is used","Java Logging Rules","SystemPrintln"
"463","rdfmaker","src/rdfmaker/APIFiltration.java","3","61","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"464","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"465","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"466","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"467","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"468","rdfmaker","src/rdfmaker/APIFiltration.java","1","65","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"469","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Parameter 'methodBody' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"470","rdfmaker","src/rdfmaker/APIFiltration.java","3","65","Parameter 'set' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"471","rdfmaker","src/rdfmaker/APIFiltration.java","3","68","Avoid unused local variables such as 'used'.","Unused Code Rules","UnusedLocalVariable"
"472","rdfmaker","src/rdfmaker/APIFiltration.java","5","68","Found 'DU'-anomaly for variable 'used' (lines '68'-'87').","Controversial Rules","DataflowAnomalyAnalysis"
"473","rdfmaker","src/rdfmaker/APIFiltration.java","3","68","Local variable 'used' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"474","rdfmaker","src/rdfmaker/APIFiltration.java","3","71","Local variable 'tokenizer' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"475","rdfmaker","src/rdfmaker/APIFiltration.java","3","78","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"476","rdfmaker","src/rdfmaker/APIFiltration.java","3","78","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"477","rdfmaker","src/rdfmaker/APIFiltration.java","2","83","System.out.print is used","Java Logging Rules","SystemPrintln"
"478","rdfmaker","src/rdfmaker/APIFiltration.java","1","90","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"479","rdfmaker","src/rdfmaker/APIFiltration.java","3","90","Parameter 'srcFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"480","rdfmaker","src/rdfmaker/APIFiltration.java","5","94","Found 'DD'-anomaly for variable 'temp_class' (lines '94'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"481","rdfmaker","src/rdfmaker/APIFiltration.java","5","95","Found 'DD'-anomaly for variable 'set' (lines '95'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"482","rdfmaker","src/rdfmaker/APIFiltration.java","2","96","Avoid instantiating String objects; this is usually unnecessary.","String and StringBuffer Rules","StringInstantiation"
"483","rdfmaker","src/rdfmaker/APIFiltration.java","3","100","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"484","rdfmaker","src/rdfmaker/APIFiltration.java","2","112","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"485","rdfmaker","src/rdfmaker/APIFiltration.java","3","112","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"486","rdfmaker","src/rdfmaker/APIFiltration.java","3","116","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"487","rdfmaker","src/rdfmaker/APIFiltration.java","3","123","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"488","rdfmaker","src/rdfmaker/APIFiltration.java","1","128","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"489","rdfmaker","src/rdfmaker/APIFiltration.java","3","128","Parameter 'projDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"490","rdfmaker","src/rdfmaker/APIFiltration.java","3","143","The String literal '.java' appears 4 times in this file; the first occurrence is on line 143","String and StringBuffer Rules","AvoidDuplicateLiterals"
"491","rdfmaker","src/rdfmaker/APIFiltration.java","3","152","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"492","rdfmaker","src/rdfmaker/APIFiltration.java","1","158","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"493","rdfmaker","src/rdfmaker/APIFiltration.java","3","158","Parameter 'APIClass' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"494","rdfmaker","src/rdfmaker/APIFiltration.java","3","171","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"495","rdfmaker","src/rdfmaker/APIFiltration.java","3","174","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
